id,식당이름,latitude,longitude
1,201호,37.5463215,127.0471507
2,37.5 시그니처 성수,37.5433753,127.054089
3,ATE 성수,37.5425289,127.0592605
4,bd버거 성수,37.5410226,127.0563968
5,Bored&Hungry,37.5396902,127.0572719
6,ERN,37.5471925,127.0396297
7,HDD피자,37.5429455,127.0532156
8,가나초콜릿하우스,37.5388428,127.0555061
9,갓잇 성수홀리워터점,37.5429098,127.0553412
10,계월,37.5395267,127.0476224
11,고우성수,37.5439298,127.0507312
12,규카츠정 성수점,37.5445873,127.0546752
13,까사아지오 성수본점,37.543364,127.0547905
14,깔리뇨타코,37.545587,127.0461928
15,꾸아 성수점,37.5466037,127.0433443
16,꿉당 성수점,37.5432058,127.0578791
17,난포,37.5470208,127.0427327
18,누메로도스,37.5463498,127.0473418
19,뉴믹스커피,37.5439782,127.0512689
20,능동미나리 성수직영점,37.542748,127.0539607
21,니카이 우동,37.5382391,127.055129
22,다반,37.5469167,127.0426854
23,다이닝 목로 성수점,37.5432544,127.0547378
24,담솥 성수점,37.5431172,127.0546499
25,대낚식당 성수직영점,37.5415524,127.0551843
26,대림국수 성수점,37.543149,127.0550893
27,대성갈비,37.54706,127.0440881
28,대취,37.5431172,127.0546499
29,댓길함박,37.548174,127.0433408
30,데이릿,37.5470309,127.046911
31,뚝도농원 성수본점,37.545157,127.0531878
32,라무라 성수,37.5397686,127.0559804
33,루비스카페 SM성수점,37.5437698,127.0466832
34,르프리크,37.544249,127.0526591
35,리볼리,37.5427008,127.0559396
36,리타르단도,37.5390247,127.0545032
37,리틀포레스트,37.5483246,127.0537221
38,마리오네,37.539756,127.0569185
39,마하차이 성수본점,37.5389621,127.0550811
40,맥시크,37.5466447,127.0472658
41,메종 파이프그라운드,37.5443796,127.0438576
42,멘츠루 성수점,37.5432444,127.0576313
43,무식당 성수본점,37.5472086,127.0452319
44,문화식당,37.5423066,127.0538122
45,미도인 성수,37.5432194,127.0548537
46,미쁘동 서울숲,37.5475187,127.0401619
47,미스타쌀국수 성수점,37.5473215,127.0489726
48,미테이블 성수점,37.5465226,127.045351
49,버섯집,37.5466926,127.0441347
50,벱,37.5420608,127.0540015
51,봄의정원 성수점,37.5417122,127.0582892
52,봉땅 서울숲점,37.5473948,127.0434428
53,부우이 성수,37.5469416,127.0401963
54,브리비트,37.548703,127.0488445
55,빙봉,37.5468649,127.0404691
56,빠오즈푸 서울숲직영점,37.545944,127.0461964
57,뽈로파스타 서울숲,37.5472717,127.0403748
58,산도스 성수,37.5476664,127.0396657
59,살라댕템플,37.5400046,127.0597092
60,샤블리 성수서울숲점,37.5469076,127.0438842
61,서울숲누룽지통닭구이,37.5469641,127.0444086
62,서울숲포도피자 성수,37.5469067,127.0431174
63,성수AGU,37.5482569,127.0485104
64,성수다락,37.5399244,127.0562313
65,성수명당,37.5410713,127.0627365
66,성수신데렐라,37.5461544,127.0549498
67,성수온실 성수본점,37.546851,127.0468581
68,성수족발,37.5460109,127.054296
69,세븐버거스 어 위크,37.5471144,127.0454432
70,소랑호젠,37.5426627,127.0451987
71,소문난성수감자탕,37.5428851,127.0544297
72,소바식당,37.5430133,127.0549953
73,소인수서울 본점,37.549707,127.044548
74,스시도쿠 더성수,37.5476275,127.0430461
75,시옹마오,37.543437,127.0544336
76,신기루오뎅바,37.5385886,127.0545346
77,신사소곱창 성수점,37.5460135,127.0545884
78,심퍼티쿠시 성수점,37.5463387,127.0535209
79,싹쓰리곱창,37.5384547,127.0558862
80,쎄콩데live,37.546525,127.0423527
81,앤드밀 성수점,37.5442379,127.0513749
82,어라운드데이,37.5467956,127.0413024
83,엘더버거 성수,37.5462733,127.0430116
84,연남토마 성수점,37.5470052,127.0423617
85,오뜨로 성수,37.5439991,127.0465742
86,오마카세 오사이초밥 성수직영점,37.5448271,127.0515523
87,오와리 본점,37.5438463,127.0511655
88,오지상 성수,37.5460472,127.0492498
89,오프트,37.5464738,127.0466892
90,오후,37.5461754,127.0433804
91,온량,37.5469117,127.0434891
92,요쇼쿠 서울숲 본점,37.5469117,127.0434891
93,우동가조쿠 성수점,37.5439678,127.0506376
94,우리마키 성수점,37.541991,127.053894
95,위풍당당족발,37.545238,127.0564342
96,육육면관,37.5454363,127.04636
97,이가네양꼬치 성수직영점,37.5439932,127.0566209
98,이로우,37.5436974,127.050804
99,이오로비스트로 성수점,37.544559,127.0531701
100,일상담미 성수점,37.5412745,127.0580969
101,잠수교집 성수 직영점,37.5438174,127.0593351
102,정돈 성수점,37.5443796,127.0438576
103,제스티살룬 성수,37.547499,127.042485
104,제제,37.5478637,127.0426257
105,조조칼국수 성수점,37.545243,127.0566783
106,죠죠 성수점,37.5414552,127.0610305
107,중앙감속기,37.5455719,127.0510934
108,진작다이닝,37.5493147,127.0456892
109,차만다 서울숲점,37.5465544,127.0414424
110,초이다이닝 성수점,37.5424768,127.0548315
111,쵸리상경,37.5470208,127.0427327
112,코치,37.5382391,127.055129
113,쿠나,37.5443638,127.0526737
114,타코튜즈데이 성수 본점,37.5467285,127.0456066
115,탐광,37.5431748,127.0554194
116,파르코,37.5462764,127.0434294
117,퍼프피자,37.5469167,127.0426854
118,평이담백뼈칼국수 성수점,37.5493504,127.0490622
119,포피나,37.5473066,127.0401988
120,프레고클럽,37.5461995,127.0493273
121,하노이102,37.5473485,127.0435987
122,한양떡방앗간 성수,37.5455389,127.0460009
123,할머니의 레시피,37.546133,127.0431495
124,핵밥 성수본점,37.5433653,127.0543937
125,헤이든 성수점,37.5463552,127.0470476
126,호감도,37.5429241,127.0560821
127,호보식당 성수직영점,37.5451968,127.055082
128,호호식당 성수,37.5471159,127.0439136
129,홍보석,37.5391575,127.0497172
130,훈연,37.5469067,127.0431174
131,훼미리손칼국수보쌈,37.5495435,127.0446906
