식당이름,식당종류,식당주소,지하철길찾기,전화번호,홈페이지
201호,브런치,서울 성동구 상원1길 35-14 2층,뚝섬역 7번 출구에서 155m,0507-1366-5864,https://www.instagram.com/201ho_seongsu/
,,,미터,,
37.5 시그니처 성수,브런치,"서울 성동구 연무장길 41-19 1,2,3층 37.5 시그니처 성수",성수역 4번 출구에서 18m,02-499-3705,https://app.catchtable.co.kr/ct/shop/375seongsu
,,,미터,,
ATE 성수,양식,서울 성동구 연무장15길 11 에스팩토리 주차장입구 C동 201호 ATE,성수역 3번 출구에서 40m,0507-1440-7858,https://www.instagram.com/club_ate_8?igsh=N2ZhYno0bDMxdWs0
,,,미터,,
bd버거 성수,햄버거,서울 성동구 성수이로14길 7 2층 bd버거 성수,성수역 3번 출구에서 408m,0507-1444-9199,https://www.instagram.com/bdburger.official
,,,미터,,
Bored&Hungry,햄버거,서울 성동구 성수이로12길 17-1 1층,성수역 3번 출구에서 665m,0507-1373-8638,https://www.instagram.com/borednhungry_kr
,,,미터,,
ERN,양식,서울 성동구 서울숲2길 8-7 1층,뚝섬역 8번 출구에서 664m,0507-1318-2871,https://catchtable.co.kr/ern
,,,미터,,
HDD피자,피자,서울 성동구 성수이로7길 46,성수역 4번 출구에서 365m,010-3153-2870,https://instagram.com/hdd_pzplace?igshid=1q9d1lk8vsti2
,,,미터,,
가나초콜릿하우스,"카페,디저트","서울 성동구 뚝섬로 403 1, 2층",성수역 3번 출구에서 674m,0507-1371-3494,https://www.instagram.com/lottewellfood/
,,,미터,,
갓잇 성수홀리워터점,"멕시코,남미음식",서울 성동구 연무장7가길 10 1층 갓잇 홀리워터점,성수역 3번 출구에서 5m,0507-1403-6662,http://www.godeat.co.kr/
,,,미터,,
계월,닭요리,"서울 성동구 성덕정3길 8 1층 우측, 계월곰탕",수인분당서울숲역 번 출구에서 634m,0507-1362-0327,http://instagram.com/kyewol_seoul
,,,미터,,
고우성수,한식,서울 성동구 연무장길 9-1 2층,뚝섬역 5번 출구에서 414m,0507-1428-0391,https://www.instagram.com/gowoo_seongsu/
,,,미터,,
규카츠정 성수점,일식당,서울 성동구 아차산로 96 지하1층 101호,성수역 4번 출구에서 35m,0507-1475-5030,https://www.instagram.com/gyukatsujeong_seongsu
,,,미터,,
까사아지오 성수본점,이탈리아음식,서울 성동구 연무장5가길 20 1층 까사아지오,성수역 4번 출구에서 185m,0507-1428-9194,https://casaagio.modoo.at/
,,,미터,,
깔리뇨타코,"멕시코,남미음식",서울 성동구 왕십리로4길 10-12 지1층,뚝섬역 7번 출구에서 8m,0507-1363-4552,https://www.instagram.com/carino_taco
,,,미터,,
꾸아 성수점,베트남음식,서울 성동구 서울숲4길 26-24 B1층 꾸아,수인분당서울숲역 5번 출구에서 34m,0507-1364-0136,http://www.pho-qua.com/
,,,미터,,
꿉당 성수점,돼지고기구이,서울 성동구 성수이로20길 10 경협회관 104호,성수역 3번 출구에서 159m,0507-1358-6564,NULL
,,,미터,,
난포,한식,서울 성동구 서울숲4길 18-8 지층,수인분당서울숲역 5번 출구에서 49m,0507-1425-1540,http://www.instagram.com/nakwongroup
,,,미터,,
누메로도스,양식,서울 성동구 상원1길 35-9,뚝섬역 7번 출구에서 140m,02-468-7943,NULL
,,,미터,,
뉴믹스커피,"카페,디저트",서울 성동구 연무장3길 3 1층,성수역 4번 출구에서 464m,0507-1486-2012,https://newmixcoffee.com/
,,,미터,,
능동미나리 성수직영점,한식,서울 성동구 연무장길 42,성수역 4번 출구에서 90m,0507-1488-8183,https://blog.naver.com/daehanfood_official
,,,미터,,
니카이 우동,"우동,소바",서울 성동구 성덕정17길 11 2층,성수역 3번 출구에서 717m,0507-1399-3044,https://www.instagram.com/nikai_udon
,,,미터,,
다반,한식,서울 성동구 서울숲4길 18-10 1층,수인분당서울숲역 5번 출구에서 40m,070-8844-2262,https://app.catchtable.co.kr/ct/shop/daban_seoul
,,,미터,,
다이닝 목로 성수점,요리주점,서울 성동구 연무장7가길 1 1층,성수역 4번 출구에서 m,0507-1340-5180,https://linktr.ee/mokroe
,,,미터,,
담솥 성수점,한식,서울 성동구 연무장7가길 2 1층,성수역 4번 출구에서 14m,0507-1329-0672,https://www.instagram.com/damsot_ss
,,,미터,,
대낚식당 성수직영점,한식,서울 성동구 성수이로7가길 15 1층 대낚식당,성수역 3번 출구에서 368m,0507-1377-5573,http://www.instagram.com/dae__nakk/
,,,미터,,
대림국수 성수점,국수,서울 성동구 연무장7가길 5-1 1층 대림국수,성수역 4번 출구에서 46m,02-465-0405,NULL
,,,미터,,
대성갈비,"육류,고기요리",서울 성동구 서울숲4길 27,뚝섬역 8번 출구에서 94m,02-464-3012,NULL
,,,미터,,
대취,요리주점,서울 성동구 연무장7가길 2 2층,성수역 4번 출구에서 09m,0507-1341-4621,NULL
,,,미터,,
댓길함박,한식,서울 성동구 서울숲길 51-1 1층,뚝섬역 8번 출구에서 77m,0507-1315-7669,NULL
,,,미터,,
데이릿,한식,서울 성동구 상원1길 39 B1,뚝섬역 7번 출구에서 83m,0507-1308-2905,https://www.instagram.com/daylit.seoul
,,,미터,,
뚝도농원 성수본점,"육류,고기요리",서울 성동구 아차산로 82 1층,성수역 4번 출구에서 155m,0507-1422-3421,http://app.catchtable.co.kr/ct/shop/ddukdonongwon
,,,미터,,
라무라 성수,일본식라면,서울 성동구 성수이로12길 8 2층 라무라 성수,성수역 3번 출구에서 55m,0507-1347-0999,https://app.catchtable.co.kr/ct/shop/ramura_seungsoo
,,,미터,,
루비스카페 SM성수점,양식,서울 성동구 뚝섬로1길 56 1층,뚝섬역 6번 출구에서 107m,070-8836-9328,https://catchtable.co.kr/rubyscafe_smss
,,,미터,,
르프리크,햄버거,서울 성동구 연무장5길 9-16 블루스톤타워 B103,성수역 4번 출구에서 43m,0507-1376-0199,NULL
,,,미터,,
리볼리,브런치,서울 성동구 연무장9길 4 2층,성수역 3번 출구에서 4m,02-469-0344,NULL
,,,미터,,
리타르단도,양식,서울 성동구 뚝섬로 393 B1 리타르단도,성수역 3번 출구에서 648m,0507-1446-7336,https://app.catchtable.co.kr/ct/shop/ritardando.seoul
,,,미터,,
리틀포레스트,브런치,서울 성동구 성수일로12길 23 2층,성수역 1번 출구에서 513m,0507-1358-6816,http://www.instagram.com/littleforest.iii
,,,미터,,
마리오네,이탈리아음식,서울 성동구 성수이로12길 15 1층,성수역 3번 출구에서 640m,0507-1381-6779,https://www.instagram.com/pizzeria_marione
,,,미터,,
